"ID","AREA_TYPE","AREA_NAME","SEX","TOTAL_WORKERS","ARMED_FORCES","MANAGERS","PROFESSIONALS","TECHNICIANS","OFFICE_ASSISTANCE","SERVICE_SALE_WORKERS","AGRICULTURE_FORESTRY_FISHERY","CRAFT_TRADE_WORKERS","PLANT_MACHINE_OPERATORS","ELEMENTARY_WORKERS","NOT_STATED"
"51","District","Okhaldhunga","Female","40263","2","775","1062","299","187","1069","33175","290","50","4858","36"
"52","District","Khotang","Total","122591","152","2783","3388","1097","794","3539","99458","2195","1476","11168","141"
"53","District","Khotang","Male","64485","142","1655","1977","616","483","1975","51356","1825","1411","5478","67"
"54","District","Khotang","Female","58106","10","1128","1411","481","311","1564","48102","370","65","5690","74"
"55","District","Bhojpur","Total","92862","142","2279","2705","796","585","2988","75869","2158","1208","8032","100"
"56","District","Bhojpur","Male","51929","134","1388","1631","457","366","1719","41588","1809","1152","4658","57"
"57","District","Bhojpur","Female","40933","8","891","1074","339","219","1269","34281","349","56","3374","43"
"58","District","Dhankuta","Total","105413","1299","3833","2782","832","796","2851","81897","2272","1315","7514","22"
"59","District","Dhankuta","Male","52197","1231","2180","1428","486","486","1434","38266","1918","1265","3489","14"
"60","District","Dhankuta","Female","53216","68","1653","1354","346","310","1417","43631","354","50","4025","8"
"61","District","Terhathum","Total","64268","197","1645","1899","508","390","1622","52645","1508","422","3410","22"
"62","District","Terhathum","Male","31698","191","973","1035","299","237","821","25178","893","405","1658","8"
"63","District","Terhathum","Female","32570","6","672","864","209","153","801","27467","615","17","1752","14"
"64","District","Panchthar","Total","106892","719","3391","3087","785","627","2998","81141","2312","1165","10638","29"
"65","District","Panchthar","Male","54884","668","1983","1694","454","374","1613","40461","1910","1118","4592","17"
"66","District","Panchthar","Female","52008","51","1408","1393","331","253","1385","40680","402","47","6046","12"
"67","District","Ilam","Total","180234","757","5675","4965","1580","1192","6280","131699","4660","3393","20001","32"
"68","District","Ilam","Male","93658","709","3280","2806","948","696","3095","66142","3971","3274","8715","22"
"69","District","Ilam","Female","86576","48","2395","2159","632","496","3185","65557","689","119","11286","10"
"70","District","Jhapa","Total","580069","1225","41222","19217","9994","6994","39673","264805","38572","19549","138378","440"
"71","District","Jhapa","Male","295890","1124","25914","10824","6127","3796","21818","117759","30431","18820","59045","232"
"72","District","Jhapa","Female","284179","101","15308","8393","3867","3198","17855","147046","8141","729","79333","208"
"73","District","Morang","Total","602935","1407","35737","22083","13476","8810","40130","231151","41399","24136","184092","514"
"74","District","Morang","Male","325407","1261","23977","13204","9125","5420","25129","106571","34887","22713","82785","335"
"75","District","Morang","Female","277528","146","11760","8879","4351","3390","15001","124580","6512","1423","101307","179"
"76","District","Sunsari","Total","434501","1466","26906","17032","9908","5400","33714","126644","38180","19705","155154","392"
"77","District","Sunsari","Male","238866","1338","17472","9821","6475","3161","20652","60703","32274","18072","68647","251"
"78","District","Sunsari","Female","195635","128","9434","7211","3433","2239","13062","65941","5906","1633","86507","141"
"79","District","Udayapur","Total","189992","1099","6500","5266","1855","1313","6770","122738","8263","4685","31424","79"
"80","District","Udayapur","Male","94765","1002","3951","2921","1135","808","3777","55794","6830","4487","14005","55"
"81","District","Udayapur","Female","95227","97","2549","2345","720","505","2993","66944","1433","198","17419","24"
"82","District","Saptari","Total","323766","1109","7218","11116","3719","1790","14025","152883","17983","6023","107659","241"
