"ID","AREA_LEVEL","AREA_NAME","SEX","TOTAL","EARLY_CHILDHOOD","PRIMARY_LEVEL","LOWER_SECONDARY","UPPER_SECONDARY","SLC_SEE_EQUIVALENT","INTERMEDIATE_EQUIVALENT","GRADUATE_EQUIVALENT","POST_GRADUATE_EQUIVALENT","OTHER","NO_LEVEL","LEVEL_NOT_STATED"
"3","NATIONAL","Nepal","Female","9562824","412722","2737182","1884032","1470024","890711","1267025","415073","160207","10429","232262","83157"
"4","URBAN_RURAL","Urban Municipalities","Total","13935833","594789","3655502","2628980","2113106","1459431","1987419","794095","381512","12823","215278","92898"
"5","URBAN_RURAL","Urban Municipalities","Male","7376607","323623","1934929","1406857","1116006","786923","1012495","435361","239212","5440","75039","40722"
"6","URBAN_RURAL","Urban Municipalities","Female","6559226","271166","1720573","1222123","997100","672508","974924","358734","142300","7383","140239","52176"
"7","URBAN_RURAL","Rural Municipalities","Total","6472291","301757","2200230","1442351","1035074","480200","613484","136081","60073","4938","142314","55789"
"8","URBAN_RURAL","Rural Municipalities","Male","3468693","160201","1183621","780442","562150","261997","321383","79742","42166","1892","50291","24808"
"9","URBAN_RURAL","Rural Municipalities","Female","3003598","141556","1016609","661909","472924","218203","292101","56339","17907","3046","92023","30981"
"10","ECOLOGICAL_BELT","Mountain","Total","1180129","50596","385524","246126","184737","90094","137267","31558","15116","906","27978","10227"
"11","ECOLOGICAL_BELT","Mountain","Male","644505","26375","208994","135609","102776","50062","74674","18777","10813","404","11006","5015"
"12","ECOLOGICAL_BELT","Mountain","Female","535624","24221","176530","110517","81961","40032","62593","12781","4303","502","16972","5212"
"13","ECOLOGICAL_BELT","Hill","Total","8799069","307327","2358287","1659448","1258798","908758","1268063","515911","262798","9136","176903","73640"
"14","ECOLOGICAL_BELT","Hill","Male","4617924","164234","1256162","879615","659477","490481","635701","275028","160611","3854","61353","31408"
"15","ECOLOGICAL_BELT","Hill","Female","4181145","143093","1102125","779833","599321","418277","632362","240883","102187","5282","115550","42232"
"16","ECOLOGICAL_BELT","Tarai","Total","10428926","538623","3111921","2165757","1704645","940779","1195573","382707","163671","7719","152711","64820"
"17","ECOLOGICAL_BELT","Tarai","Male","5582871","293215","1653394","1172075","915903","508377","623503","221298","109954","3074","52971","29107"
"18","ECOLOGICAL_BELT","Tarai","Female","4846055","245408","1458527","993682","788742","432402","572070","161409","53717","4645","99740","35713"
"19","PROVINCE","Koshi","Total","3639547","146754","1026122","731423","642212","411343","432029","125482","52070","2583","51905","17624"
"20","PROVINCE","Koshi","Male","1907614","77531","548097","390895","331337","212838","212209","69761","34238","1196","21017","8495"
"21","PROVINCE","Koshi","Female","1731933","69223","478025","340528","310875","198505","219820","55721","17832","1387","30888","9129"
"22","PROVINCE","Madhesh","Total","3485140","220675","1148639","742516","568188","265279","339780","115405","48665","1111","21760","13122"
"23","PROVINCE","Madhesh","Male","1976990","121819","614324","417285","332204","157280","201643","77989","36965","573","10029","6879"
"24","PROVINCE","Madhesh","Female","1508150","98856","534315","325231","235984","107999","138137","37416","11700","538","11731","6243"
"25","PROVINCE","Bagmati","Total","4674293","150319","1096438","770447","561702","544973","816102","402906","208661","6531","90003","26211"
"26","PROVINCE","Bagmati","Male","2497503","81533","594193","419956","298497","298059","415675","215503","124092","2972","34540","12483"
"27","PROVINCE","Bagmati","Female","2176790","68786","502245","350491","263205","246914","400427","187403","84569","3559","55463","13728"
"28","PROVINCE","Gandaki","Total","1885154","65008","492384","375421","294777","198525","272166","78842","37168","1962","38767","30134"
"29","PROVINCE","Gandaki","Male","962648","35069","257440","190554","152758","108194","131119","39109","23306","665","12413","12021"
"30","PROVINCE","Gandaki","Female","922506","29939","234944","184867","142019","90331","141047","39733","13862","1297","26354","18113"
"31","PROVINCE","Lumbini","Total","3674231","175017","1153922","798153","569270","297795","391549","116176","50774","3570","84510","33495"
"32","PROVINCE","Lumbini","Male","1901867","94029","607658","421431","296318","156301","192205","60671","32499","1227","25816","13712"
"33","PROVINCE","Lumbini","Female","1772364","80988","546264","376722","272952","141494","199344","55505","18275","2343","58694","19783"
"34","PROVINCE","Karnali","Total","1163317","50022","359821","250096","193598","93364","139011","31397","12925","518","20935","11630"
"35","PROVINCE","Karnali","Male","614971","26345","190724","133536","101139","49764","73349","18519","9172","211","7026","5186"
"36","PROVINCE","Karnali","Female","548346","23677","169097","116560","92459","43600","65662","12878","3753","307","13909","6444"
"37","PROVINCE","Sudur Paschim","Total","1886442","88751","578406","403275","318433","128352","210266","59968","31322","1486","49712","16471"
"38","PROVINCE","Sudur Paschim","Male","983707","47498","306114","213642","165903","66484","107678","33551","21106","488","14489","6754"
"39","PROVINCE","Sudur Paschim","Female","902735","41253","272292","189633","152530","61868","102588","26417","10216","998","35223","9717"
"40","DISTRICT","Taplejung","Total","90666","3001","27680","19934","17576","8377","8907","2341","966","50","1295","539"
"41","DISTRICT","Taplejung","Male","48935","1574","15192","10889","9528","4455","4471","1259","671","26","576","294"
"42","DISTRICT","Taplejung","Female","41731","1427","12488","9045","8048","3922","4436","1082","295","24","719","245"
"43","DISTRICT","Sankhuwasabha","Total","115631","4408","39307","26583","18699","9985","10295","2653","1283","119","1613","686"
"44","DISTRICT","Sankhuwasabha","Male","63142","2306","21533","14317","10453","5447","5505","1552","919","52","694","364"
"45","DISTRICT","Sankhuwasabha","Female","52489","2102","17774","12266","8246","4538","4790","1101","364","67","919","322"
"46","DISTRICT","Solukhumbu","Total","74382","2659","25499","15171","10559","5241","9093","2127","1122","33","2512","366"
"47","DISTRICT","Solukhumbu","Male","40887","1331","14385","8401","5928","2928","4644","1209","717","22","1126","196"
"48","DISTRICT","Solukhumbu","Female","33495","1328","11114","6770","4631","2313","4449","918","405","11","1386","170"
